sr,name,country,role,capped,base,category,last_ipl_team,highlights,rating,matches,runs,strike_rate,wickets,economy,average
492,Vaibhav Suryavanshi,India,BATTER,Uncapped,30 L,,,,75,,,,,,
493,Kartik Chadha,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
494,Writtick Chatterjee,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
495,Prerit Dutta,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
496,Rajneesh Gurbani,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
497,Shubhang Hegde,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
498,Saransh Jain,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
499,Ripal Patel,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
500,Akash Vashisht,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
501,Anirudh Kanwar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
502,Shubham Kapse,India,BOWLER,Uncapped,30 L,,,,,,,,,,
503,Atif Mushtaq,India,BOWLER,Uncapped,30 L,,,,,,,,,,
504,Dipesh Parwani,India,BOWLER,Uncapped,30 L,,,,,,,,,,
505,Manish Reddy,India,BOWLER,Uncapped,30 L,,,,,,,,,,
506,Chetan Sharma,India,BOWLER,Uncapped,30 L,,,,,,,,,,
507,Avinash Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
508,Alick Athanaze,West Indies,ALL-ROUNDER,Capped,75 L,,,West Indies top-order all-rounder | Rising Test & T20 batter,,,,,,,
509,Hilton Cartwright,Australia,ALL-ROUNDER,Capped,75 L,,,Australia batting all-rounder | Middle-order runs & handy seam,,,,,,,
510,Dominic Drakes,West Indies,ALL-ROUNDER,Capped,1.25 Cr,,,West Indies left-arm pace all-rounder | Death-overs hitting & seam,,,,,,,
511,Daryn Dupavillon,South Africa,BOWLER,Capped,75 L,,,South Africa express pace | Sharp new-ball speed,,,,,,,
512,Matthew Forde,West Indies,ALL-ROUNDER,Capped,1.25 Cr,,,West Indies off-spin all-rounder | Emerging batting & spin talent,,,,,,,
513,Patrick Kruger,South Africa,ALL-ROUNDER,Capped,75 L,,,South Africa all-rounder | Domestic power-hitting & handy seam,,,,,,,
514,Lahiru Kumara,Sri Lanka,BOWLER,Capped,75 L,,,Sri Lanka express pace | Sharp bounce & new-ball wickets,,,,,,,
515,Michael Neser,Australia,ALL-ROUNDER,Capped,75 L,,,Australia seam-bowling all-rounder | New-ball swing & lower-order runs,,,,,,,
516,Richard Ngarava,Zimbabwe,BOWLER,Capped,75 L,,,Zimbabwe left-arm quick | New-ball swing specialist,,,,,,,
517,Wayne Parnell,South Africa,BOWLER,Capped,1 Cr,,,South Africa left-arm quick | Experienced new-ball & death bowler,,,,,,,
518,Keemo Paul,West Indies,ALL-ROUNDER,Capped,1.25 Cr,,,West Indies seam-bowling all-rounder | Death-overs & handy hitting,,,,,,,
519,Odean Smith,West Indies,ALL-ROUNDER,Capped,75 L,,,West Indies pace all-rounder | Express speed & big hitting,,,,,,,
520,Andrew Tye,Australia,BOWLER,Capped,75 L,,,Australia seamer | Death-overs specialist | Former IPL Purple Cap contender,,,,,,,
521,Ajay Ahlawat,India,ALL-ROUNDER,Uncapped,40 L,,,,,,,,,,
522,Corbin Bosch,South Africa,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
523,Mayank Gusain,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
524,Mukhtar Hussain,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
525,Girinath Reddy,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
526,Jalaj Saxena,India,ALL-ROUNDER,Uncapped,40 L,,,,,,,,,,
527,Yajas Sharma,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
528,Sanjay Yadav,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
529,Vishal Godara,India,BOWLER,Uncapped,30 L,,,,,,,,,,
530,Eshan Malinga,Sri Lanka,BOWLER,Uncapped,30 L,,,,,,,,,,
531,Samarth Nagraj,India,BOWLER,Uncapped,30 L,,,,,,,,,,
532,Abhishek Saini,India,BOWLER,Uncapped,30 L,,,,,,,,,,
533,Dumindu Sewmina,Sri Lanka,BOWLER,Uncapped,30 L,,,,,,,,,,
534,Pradyuman Kumar Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
535,Vasu Vats,India,BOWLER,Uncapped,30 L,,,,,,,,,,
536,Umang Kumar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
537,Mohamed Ali,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
538,Atharva Ankolekar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
539,Vaisakh Chandran,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
540,Auqib Dar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
541,Rohit Rayudu,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
542,Uday Saharan,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
543,Ayush Vartak,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
544,Baba Aparajith,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
545,Sumit Kumar Beniwal,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
546,Nishunk Birla,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
547,Digvijay Deshmukh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
548,Lakshay Jain,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
549,Duan Jansen,South Africa,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
550,Kritagya Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
551,P. Vignesh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
552,Sabhay Chadha,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
553,Ben Howell,England,ALL-ROUNDER,Uncapped,50 L,,,,,,,,,,
554,Hemanth Kumar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
555,Rohan Rana,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
556,Bharat Sharma,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
557,Pratham Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
558,Tripurana Vijay,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
559,Ravi Yadav,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
560,Arjun Azad,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
561,Abhay Choudhary,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
562,Gaurav Gambhir,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
563,Shubham Garhwal,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
564,Tejasvi Jaiswal,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
565,Sairaj Patil,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
566,Madhav Tiwari,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
567,Kamal Tripathi,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
568,Prashant Chauhan,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
569,Yash Dabas,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
570,Dhruv Kaushik,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
571,Khrievitso Kense,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
572,Akash Parkar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
573,Vignesh Puthur,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
574,Tripuresh Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
575,Vijay Yadav,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
576,Saurabh Netravalkar,USA,BOWLER,Associate,30 L,,,,,,,,,,
577,Hardik Tamore,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
578,Ruturaj Gaikwad,India,BATTER,Capped,2 Cr,,Chennai Super Kings,CSK captain | IPL 2021 title winner | Prolific top-order opener,85,,,,,,
579,Shivam Dube,India,ALL-ROUNDER,Capped,1.50 Cr,,Chennai Super Kings,India middle-order all-rounder | Explosive finisher & handy seam | 2024 T20 WC winner,85,,,,,,
580,Ravindra Jadeja,India,ALL-ROUNDER,Capped,2 Cr,,Chennai Super Kings,India's champion all-rounder | Multiple IPL titles with CSK | Elite left-arm spin & fielding,90,,,,,,
581,Matheesha Pathirana,Sri Lanka,BOWLER,Capped,1.50 Cr,,Chennai Super Kings,Sri Lanka slinger | Death-overs yorker specialist | CSK's Malinga heir,75,,,,,,
582,MS Dhoni,India,WICKETKEEPER,Capped,2 Cr,,Chennai Super Kings,CSK icon & former captain | 5-time IPL title-winning captain | India's greatest finisher,95,,,,,,
583,Jasprit Bumrah,India,BOWLER,Capped,2 Cr,,Mumbai Indians,World's No.1 fast bowler | 2024 T20 World Cup Player of the Tournament | Yorker master,100,,,,,,
584,Suryakumar Yadav,India,BATTER,Capped,2 Cr,,Mumbai Indians,India's 360-degree T20 star | 2024 T20 World Cup winner | Explosive middle-order,90,,,,,,
585,Hardik Pandya,India,ALL-ROUNDER,Capped,2 Cr,,Mumbai Indians,India's premier all-rounder | 2024 T20 World Cup-winning captain | Power hitting & seam,95,,,,,,
586,Rohit Sharma,India,BATTER,Capped,2 Cr,,Mumbai Indians,India captain | 2024 T20 World Cup winner | Most sixes in T20I history,100,,,,,,
587,Tilak Varma,India,BATTER,Capped,1.50 Cr,,Mumbai Indians,India's young left-hand star | Explosive middle-order,90,,,,,,
588,Virat Kohli,India,BATTER,Capped,2 Cr,,Royal Challengers Bengaluru,Modern batting great | IPL's all-time leading run-scorer | 2024 T20 World Cup winner,100,,,,,,
589,Rajat Patidar,India,BATTER,Capped,1.50 Cr,,Royal Challengers Bengaluru,RCB captain | Led RCB to maiden IPL title (2025) | Explosive middle-order,70,,,,,,
590,Yash Dayal,India,BOWLER,Capped,75 L,,Royal Challengers Bengaluru,India left-arm quick | RCB new-ball & death bowler | 2025 title winner,70,,,,,,
591,Rinku Singh,India,BATTER,Capped,1.50 Cr,,Kolkata Knight Riders,India's finishing sensation | 5 sixes in an over vs GT | KKR 2024 title winner,75,,,,,,
592,Varun Chakravarthy,India,BOWLER,Capped,1.50 Cr,,Kolkata Knight Riders,India mystery spinner | IPL 2021 & 2024 title winner | Wicket-taking match-winner,,,,,,,
593,Sunil Narine,West Indies,ALL-ROUNDER,Capped,1.50 Cr,,Kolkata Knight Riders,KKR legend | Multiple IPL titles | Explosive opener & mystery spin,95,,,,,,
594,Andre Russell,West Indies,ALL-ROUNDER,Capped,1.50 Cr,,Kolkata Knight Riders,West Indies power-hitter | KKR title winner | Explosive finisher & seam,100,,,,,,
595,Harshit Rana,India,BOWLER,Capped,75 L,,Kolkata Knight Riders,India seamer | KKR 2024 title winner | Aggressive new-ball & death bowler,75,,,,,,
596,Ramandeep Singh,India,ALL-ROUNDER,Uncapped,40 L,,,,70,,,,,,
597,Sanju Samson,India,WICKETKEEPER,Capped,2 Cr,,Rajasthan Royals,RR captain | Explosive keeper-batter | Multiple IPL centuries,80,,,,,,
598,Yashasvi Jaiswal,India,BATTER,Capped,2 Cr,,Rajasthan Royals,India's young opening sensation | Fastest T20I century by an Indian | Prolific run-scorer,95,,,,,,
599,Riyan Parag,India,ALL-ROUNDER,Capped,1.50 Cr,,Rajasthan Royals,India all-rounder | Explosive middle-order & handy spin | Prolific IPL run-scorer for RR,80,,,,,,
600,Dhruv Jurel,India,WICKETKEEPER,Capped,1 Cr,,Rajasthan Royals,India keeper-batter | Rising Test & T20 star,70,,,,,,
601,Shimron Hetmyer,West Indies,BATTER,Capped,1.50 Cr,,Rajasthan Royals,West Indies finisher | Explosive left-hand power-hitter,75,,,,,,
602,Sandeep Sharma,India,BOWLER,Capped,50 L,,Rajasthan Royals,India swing bowler | New-ball & death-overs specialist,70,,,,,,
603,Shashank Singh,India,ALL-ROUNDER,Uncapped,40 L,,,,80,,,,,,
604,Prabhsimran Singh,India,WICKETKEEPER,Uncapped,40 L,,,,80,,,,,,
605,Axar Patel,India,ALL-ROUNDER,Capped,2 Cr,,Delhi Capitals,India all-rounder | 2024 T20 World Cup winner | Elite left-arm spin & finishing,85,,,,,,
606,Kuldeep Yadav,India,BOWLER,Capped,1.50 Cr,,Delhi Capitals,India's premier wrist-spinner | 2024 T20 World Cup winner | Match-winning chinaman,85,,,,,,
607,Tristan Stubbs,South Africa,BATTER,Capped,1.50 Cr,,Delhi Capitals,South Africa middle-order star | Explosive finisher,80,,,,,,
608,Abhishek Porel,India,WICKETKEEPER,Uncapped,40 L,,,,75,,,,,,
609,Heinrich Klaasen,South Africa,WICKETKEEPER,Capped,2 Cr,,Sunrisers Hyderabad,South Africa's explosive keeper-batter | Devastating middle-order hitter,90,,,,,,
610,Travis Head,Australia,BATTER,Capped,2 Cr,,Sunrisers Hyderabad,Australia's explosive opener | 2023 WTC & ODI World Cup Player of the Match | SRH powerplay king,85,,,,,,
611,Abhishek Sharma,India,ALL-ROUNDER,Capped,1.50 Cr,,Sunrisers Hyderabad,India's explosive opener | Maiden IPL century (2025) | Fearless left-hand power-hitter,85,,,,,,
612,Nitish Kumar Reddy,India,ALL-ROUNDER,Capped,1 Cr,,Sunrisers Hyderabad,India seam-bowling all-rounder | 2024 breakout Test century,,,,,,,
613,Pat Cummins,Australia,BOWLER,Capped,2 Cr,,Sunrisers Hyderabad,Australia captain | 2023 ODI & WTC-winning captain | Elite fast bowler,90,,,,,,
614,Rashid Khan,Afghanistan,BOWLER,Capped,2 Cr,,Gujarat Titans,Afghanistan's leg-spin wizard | One of T20's greatest bowlers,90,,,,,,
615,Shubman Gill,India,BATTER,Capped,2 Cr,,Gujarat Titans,India captain & GT skipper | Prolific top-order run-machine | Elegant stroke-maker,95,,,,,,
616,Sai Sudharsan,India,BATTER,Capped,1.50 Cr,,Gujarat Titans,India's rising left-hand opener | IPL 2025 Orange Cap winner | Elegant top-order batter,90,,,,,,
617,Rahul Tewatia,India,ALL-ROUNDER,Uncapped,40 L,,,,80,,,,,,
618,Shahrukh Khan,India,BATTER,Uncapped,40 L,,,,65,,,,,,
619,Nicholas Pooran,West Indies,WICKETKEEPER,Capped,2 Cr,,Lucknow Super Giants,LSG captain | West Indies power-hitting keeper | Explosive middle-order,90,,,,,,
620,Ravi Bishnoi,India,BOWLER,Capped,1 Cr,,Lucknow Super Giants,India leg-spinner | Attacking wrist-spin wicket-taker,80,,,,,,
621,Mayank Yadav,India,BOWLER,Uncapped,75 L,,,,75,,,,,,
622,Ayush Badoni,India,ALL-ROUNDER,Uncapped,40 L,,,,75,,,,,,
623,Mohsin Khan,India,BOWLER,Uncapped,40 L,,,,75,,,,,,
624,Karan Sharma,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
625,Darshan Markande,India,BOWLER,Uncapped,30 L,,,,,,,,,,
626,AB de Villiers,South Africa,WICKETKEEPER,Capped,2 Cr,,,,100,,,,,,
627,Chris Gayle,West Indies,BATTER,Capped,2 Cr,,,,100,,,,,,
628,Suresh Raina,India,BATTER,Capped,1.50 Cr,,,,100,,,,,,
629,Virender Sehwag,India,BATTER,Capped,1.50 Cr,,,,90,,,,,,
630,Dale Steyn,South Africa,BOWLER,Capped,1.50 Cr,,,,100,,,,,,
631,Kieron Pollard,West Indies,ALL-ROUNDER,Capped,1.50 Cr,,,,100,,,,,,
632,Shane Watson,Australia,ALL-ROUNDER,Capped,1.50 Cr,,,,100,,,,,,
633,Harbhajan Singh,India,BOWLER,Capped,1 Cr,,,,100,,,,,,
634,Brendon McCullum,New Zealand,WICKETKEEPER,Capped,1.50 Cr,,,,100,,,,,,
635,Eoin Morgan,England,BATTER,Capped,1 Cr,,,,80,,,,,,
636,Dwayne Smith,West Indies,BATTER,Capped,75 L,,,,75,,,,,,
637,Chris Lynn,Australia,BATTER,Capped,1 Cr,,,,90,,,,,,
638,Imran Tahir,South Africa,BOWLER,Capped,1 Cr,,,,85,,,,,,
639,James Faulkner,Australia,ALL-ROUNDER,Capped,1 Cr,,,,75,,,,,,
640,Mitchell Johnson,Australia,BOWLER,Capped,1 Cr,,,,100,,,,,,
641,Morne Morkel,South Africa,BOWLER,Capped,1 Cr,,,,90,,,,,,
642,Albie Morkel,South Africa,ALL-ROUNDER,Capped,75 L,,,,90,,,,,,
643,Murali Vijay,India,BATTER,Capped,75 L,,,,70,,,,,,
644,Parthiv Patel,India,WICKETKEEPER,Capped,50 L,,,,85,,,,,,
645,Wriddhiman Saha,India,WICKETKEEPER,Capped,75 L,,,,70,,,,,,
646,Stuart Binny,India,ALL-ROUNDER,Capped,40 L,,,,60,,,,,,
647,George Bailey,Australia,BATTER,Capped,75 L,,,,70,,,,,,
648,Lendl Simmons,West Indies,BATTER,Capped,75 L,,,,80,,,,,,
649,Corey Anderson,New Zealand,ALL-ROUNDER,Capped,75 L,,,,85,,,,,,
650,Mitchell McClenaghan,New Zealand,BOWLER,Capped,75 L,,,,75,,,,,,
651,Kedar Jadhav,India,ALL-ROUNDER,Capped,75 L,,,,70,,,,,,
652,JP Duminy,South Africa,ALL-ROUNDER,Capped,1 Cr,,,,75,,,,,,
653,Darren Sammy,West Indies,ALL-ROUNDER,Capped,50 L,,,,70,,,,,,
654,Moises Henriques,Australia,ALL-ROUNDER,Capped,75 L,,,,85,,,,,,
655,Chris Morris,South Africa,ALL-ROUNDER,Capped,1 Cr,,,,80,,,,,,
656,Angelo Mathews,Sri Lanka,ALL-ROUNDER,Capped,1 Cr,,,,65,,,,,,
657,Ben Stokes,England,ALL-ROUNDER,Capped,2 Cr,,,,80,,,,,,
658,Cameron Green,Australia,ALL-ROUNDER,Capped,1.50 Cr,,,,80,,,,,,
659,Shivil Kaushik,India,BOWLER,Capped,30 L,,,,60,,,,,,
660,Yusuf Pathan,India,ALL-ROUNDER,Capped,75 L,,,,100,,,,,,
661,Irfan Pathan,India,ALL-ROUNDER,Capped,75 L,,,,75,,,,,,
662,Robin Uthappa,India,WICKETKEEPER,Capped,75 L,,,,60,,,,,,
663,Ambati Rayudu,India,BATTER,Capped,75 L,,,,85,,,,,,
664,Dwayne Bravo,West Indies,ALL-ROUNDER,Capped,1.50 Cr,,,,85,,,,,,
665,Lasith Malinga,Sri Lanka,BOWLER,Capped,1.50 Cr,,,,80,,,,,,
666,Aaron Finch,Australia,BATTER,Capped,1 Cr,,,,75,,,,,,
667,Shikhar Dhawan,India,BATTER,Capped,1.50 Cr,,,,80,,,,,,
668,Amit Mishra,India,BOWLER,Capped,50 L,,,,100,,,,,,
669,Cheteshwar Pujara,India,BATTER,Capped,50 L,,,,75,,,,,,
670,Hashim Amla,South Africa,BATTER,Capped,1 Cr,,,,100,,,,,,
